Time	MOTOR-M-SST2.Pos[mm]	HEATER-ETS-41.Mode	HEATER-ETS-41.WSP	HEATER-ETS-41.PV1	HEATER-ETS-41.SPP	GENERATOR-PS-41.P[W]	GENERATOR-PS-41.U[V]	GENERATOR-PS-41.I[A]	GAUGE-G41.p[mBar]	CHAMBER-PREP.State
13:15:20.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	1.2E-9	0
13:15:21.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	1.2E-9	0
13:15:22.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	1.2E-9	0
13:15:23.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.05	0.00	1.2E-9	0
13:15:24.0	-72.75	0.0	22.0	22.0	0.0	0.00	0.05	0.00	1.2E-9	0
13:15:25.0	-72.75	0.0	23.0	22.0	0.4	0.00	0.05	0.00	1.2E-9	0
13:15:26.0	-72.75	0.0	23.0	22.0	1.0	0.00	0.05	0.00	1.2E-9	0
13:15:27.0	-72.75	0.0	24.0	22.0	1.4	0.01	0.30	0.05	1.2E-9	0
13:15:28.0	-72.75	0.0	25.0	22.0	2.1	0.08	0.99	0.08	1.2E-9	0
13:15:29.0	-72.75	0.0	25.0	22.0	2.1	0.08	0.99	0.08	1.2E-9	0
13:15:30.0	-72.75	0.0	25.0	22.0	2.6	0.14	1.24	0.11	1.2E-9	0
13:15:31.0	-72.75	0.0	26.0	22.0	3.2	0.14	1.24	0.11	1.2E-9	0
13:15:32.0	-72.75	0.0	26.0	22.0	3.5	0.57	2.70	0.21	1.2E-9	0
13:15:33.0	-72.75	0.0	27.0	22.0	4.0	0.57	2.70	0.21	1.2E-9	0
13:15:34.0	-72.75	0.0	28.0	22.0	4.7	0.87	3.33	0.26	1.2E-9	0
13:15:35.0	-72.75	0.0	28.0	22.0	4.7	0.87	3.33	0.26	1.2E-9	0
13:15:36.0	-72.75	0.0	28.0	22.0	5.0	0.87	3.33	0.26	1.2E-9	0
13:15:37.0	-72.75	0.0	29.0	22.0	5.7	0.87	3.33	0.26	1.2E-9	0
13:15:38.0	-72.75	0.0	30.0	22.0	6.2	1.54	4.41	0.35	1.2E-9	0
13:15:39.0	-72.75	0.0	30.0	22.0	6.7	2.06	5.16	0.40	1.2E-9	0
13:15:40.0	-72.75	0.0	31.0	22.0	7.5	2.06	5.16	0.40	1.2E-9	0
13:15:41.0	-72.75	0.0	31.0	22.0	7.5	2.06	5.16	0.40	1.2E-9	0
13:15:42.0	-72.75	0.0	31.0	22.0	7.9	2.06	5.16	0.40	1.2E-9	0
13:15:43.0	-72.75	0.0	32.0	22.0	8.4	2.06	5.16	0.40	1.2E-9	0
13:15:44.0	-72.75	0.0	33.0	22.0	9.0	2.06	5.16	0.40	1.2E-9	0
13:15:45.0	-72.75	0.0	33.0	22.0	9.6	2.06	5.16	0.40	1.2E-9	0
13:15:46.0	-72.75	0.0	33.0	22.0	9.6	4.38	7.42	0.59	1.2E-9	0
13:15:47.0	-72.75	0.0	34.0	22.0	9.9	4.38	7.42	0.59	1.2E-9	0
13:15:48.0	-72.75	0.0	34.0	22.0	10.9	5.33	8.32	0.64	1.2E-9	0
13:15:49.0	-72.75	0.0	35.0	22.0	11.4	5.33	8.32	0.64	1.2E-9	0
13:15:50.0	-72.75	0.0	36.0	22.0	12.1	5.33	8.32	0.64	1.2E-9	0
13:15:51.0	-72.75	0.0	36.0	22.0	12.6	6.92	9.35	0.74	1.2E-9	0
13:15:52.0	-72.75	0.0	36.0	22.0	12.6	6.92	9.35	0.74	1.2E-9	0
13:15:53.0	-72.75	0.0	37.0	22.0	13.1	6.92	9.35	0.74	1.2E-9	0
13:15:54.0	-72.75	0.0	37.0	22.0	14.0	8.74	10.53	0.83	1.2E-9	0
13:15:55.0	-72.75	0.0	38.0	22.0	14.5	9.79	11.25	0.87	1.2E-9	0
13:15:56.0	-72.75	0.0	39.0	22.0	15.0	9.79	11.25	0.87	1.2E-9	0
13:15:57.0	-72.75	0.0	39.0	22.0	15.7	10.84	11.78	0.92	1.2E-9	0
13:15:58.0	-72.75	0.0	39.0	22.0	15.7	10.84	11.78	0.92	1.2E-9	0
13:15:59.0	-72.75	0.0	40.0	22.0	16.4	12.61	12.61	1.00	1.2E-9	0
13:16:00.0	-72.75	0.0	41.0	22.0	17.2	13.92	13.13	1.06	1.2E-9	0
13:16:01.0	-72.75	0.0	41.0	22.0	18.0	13.92	13.13	1.06	1.2E-9	0
13:16:02.0	-72.75	0.0	42.0	22.0	18.6	13.92	13.13	1.06	1.2E-9	0
13:16:03.0	-72.75	0.0	42.0	22.0	18.6	13.92	13.13	1.06	1.2E-9	0
13:16:04.0	-72.75	0.0	42.0	22.0	19.2	13.92	13.13	1.06	1.2E-9	0
13:16:05.0	-72.75	0.0	43.0	22.0	19.9	0.00	0.00	0.00	1.2E-9	0
13:16:06.0	-72.75	0.0	44.0	22.0	20.5	0.00	0.00	0.00	1.2E-9	0
13:16:07.0	-72.75	0.0	44.0	22.0	21.4	0.00	0.00	0.00	1.2E-9	0
13:16:08.0	-72.75	0.0	44.0	22.0	21.4	22.11	16.75	1.32	1.2E-9	0
13:16:09.0	-72.75	0.0	45.0	22.0	22.1	23.07	17.09	1.35	1.2E-9	0
13:16:10.0	-72.75	0.0	45.0	22.0	22.7	25.21	17.63	1.43	1.2E-9	0
13:16:11.0	-72.75	0.0	46.0	22.0	23.3	25.21	17.63	1.43	1.2E-9	0
13:16:12.0	-72.75	0.0	47.0	22.0	23.9	27.30	18.57	1.47	1.2E-9	0
13:16:13.0	-72.75	0.0	47.0	22.0	25.1	27.30	18.57	1.47	1.2E-9	0
13:16:14.0	-72.75	0.0	47.0	22.0	25.1	27.30	18.57	1.47	1.2E-9	0
13:16:15.0	-72.75	0.0	48.0	23.0	25.7	27.30	18.57	1.47	1.2E-9	0
13:16:16.0	-72.75	0.0	48.0	23.0	26.4	35.24	20.85	1.69	1.3E-9	0
13:16:17.0	-72.75	0.0	49.0	23.0	27.1	35.24	20.85	1.69	1.3E-9	0
13:16:18.0	-72.75	0.0	50.0	23.0	27.8	35.24	20.85	1.69	1.3E-9	0
13:16:19.0	-72.75	0.0	50.0	23.0	28.5	35.24	20.85	1.69	1.4E-9	0
13:16:20.0	-72.75	0.0	50.0	23.0	28.5	35.24	20.85	1.69	1.4E-9	0
13:16:21.0	-72.75	0.0	51.0	23.0	29.7	35.24	20.85	1.69	1.4E-9	0
13:16:22.0	-72.75	0.0	51.0	23.0	30.2	35.24	20.85	1.69	1.4E-9	0
13:16:23.0	-72.75	0.0	52.0	23.0	30.9	47.48	24.10	1.97	1.6E-9	0
13:16:24.0	-72.75	0.0	53.0	23.0	31.8	47.48	24.10	1.97	1.6E-9	0
13:16:25.0	-72.75	0.0	53.0	23.0	32.4	52.94	25.33	2.09	1.6E-9	0
13:16:26.0	-72.75	0.0	53.0	23.0	32.4	52.94	25.33	2.09	2.1E-9	0
13:16:27.0	-72.75	0.0	54.0	23.0	33.2	52.94	25.33	2.09	2.1E-9	0
13:16:28.0	-72.75	0.0	55.0	23.0	34.0	52.94	25.33	2.09	2.1E-9	0
13:16:29.0	-72.75	0.0	55.0	23.0	34.8	52.94	25.33	2.09	2.8E-9	0
13:16:30.0	-72.75	0.0	56.0	23.0	35.4	63.73	27.59	2.31	2.8E-9	0
13:16:31.0	-72.75	0.0	56.0	23.0	35.4	63.73	27.59	2.31	2.8E-9	0
13:16:32.0	-72.75	0.0	56.0	23.0	36.1	63.73	27.59	2.31	2.8E-9	0
13:16:33.0	-72.75	0.0	57.0	23.0	37.0	71.41	28.68	2.49	3.3E-9	0
13:16:34.0	-72.75	0.0	58.0	24.0	37.6	71.41	28.68	2.49	3.3E-9	0
