Time	MOTOR-M-SST2.Pos[mm]	HEATER-ETS-41.Mode	HEATER-ETS-41.WSP	HEATER-ETS-41.PV1	HEATER-ETS-41.SPP	GENERATOR-PS-41.P[W]	GENERATOR-PS-41.U[V]	GENERATOR-PS-41.I[A]	GAUGE-G41.p[mBar]	CHAMBER-PREP.State
09:17:12.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	2.6E-10	0
09:17:13.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	2.6E-10	0
09:17:14.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	2.6E-10	0
09:17:15.0	-72.75	0.0	0.0	22.0	0.0	0.00	0.04	0.00	2.6E-10	0
09:17:16.0	-72.75	0.0	22.0	22.0	0.0	0.00	0.04	0.00	2.6E-10	0
09:17:17.0	-72.75	0.0	22.0	22.0	0.2	0.00	14.79	0.00	2.6E-10	0
09:17:18.0	-72.75	0.0	23.0	22.0	0.9	0.01	0.31	0.04	2.6E-10	0
09:17:19.0	-72.75	0.0	24.0	22.0	1.2	0.01	0.31	0.04	2.6E-10	0
09:17:20.0	-72.75	0.0	24.0	22.0	1.2	0.01	0.31	0.04	2.6E-10	0
09:17:21.0	-72.75	0.0	24.0	22.0	1.7	0.01	0.31	0.04	2.6E-10	0
09:17:22.0	-72.75	0.0	25.0	22.0	2.1	0.01	0.31	0.04	2.6E-10	0
09:17:23.0	-72.75	0.0	26.0	22.0	2.8	0.26	1.82	0.14	2.6E-10	0
09:17:24.0	-72.75	0.0	26.0	22.0	3.3	0.40	2.24	0.18	2.6E-10	0
09:17:25.0	-72.75	0.0	26.0	22.0	3.3	0.40	2.24	0.18	2.6E-10	0
09:17:26.0	-72.75	0.0	27.0	22.0	3.7	0.40	2.24	0.18	2.6E-10	0
09:17:27.0	-72.75	0.0	27.0	22.0	4.4	0.40	2.24	0.18	2.6E-10	0
09:17:28.0	-72.75	0.0	28.0	22.0	4.9	0.40	2.24	0.18	2.6E-10	0
09:17:29.0	-72.75	0.0	29.0	22.0	5.4	1.25	4.04	0.31	2.6E-10	0
09:17:30.0	-72.75	0.0	29.0	22.0	6.1	1.25	4.04	0.31	2.6E-10	0
